"city","datetime","pollutant","forecast_value"
"X1001A","21.75","PM2.5",19.8834988260405
"X1001A","21.7916666666667","PM2.5",19.8822256005264
"X1001A","21.8333333333333","PM2.5",19.8809268321552
"X1001A","21.875","PM2.5",19.8834988260405
"X1001A","21.9166666666667","PM2.5",19.8859752083557
"X1001A","21.9583333333333","PM2.5",19.8834988260405
"X1001A","22","PM2.5",19.8834988260405
"X1001A","22.0416666666667","PM2.5",19.8883674319498
"X1001A","22.0833333333333","PM2.5",19.8883674319498
"X1001A","22.125","PM2.5",19.8895349540429
"X1001A","22.1666666666667","PM2.5",19.8871812162242
"X1001A","22.2083333333333","PM2.5",19.8854209784739
"X1001A","22.25","PM2.5",19.8828383230074
"X1001A","22.2916666666667","PM2.5",19.8815724473585
"X1001A","22.3333333333333","PM2.5",19.8809347756667
"X1001A","22.375","PM2.5",19.8806897116354
"X1001A","22.4166666666667","PM2.5",19.921592723039
"X1001A","22.4583333333333","PM2.5",19.921592723039
"X1001A","22.5","PM2.5",19.9471885589449
"X1001A","22.5416666666667","PM2.5",19.9586268936834
"X1001A","22.5833333333333","PM2.5",19.9691620465771
"X1001A","22.625","PM2.5",19.9691620465771
"X1001A","22.6666666666667","PM2.5",19.979566585447
"X1001A","22.7083333333333","PM2.5",19.9794452648492
"X1001A","22.75","PM2.5",19.9935681984311
"X1001A","22.7916666666667","PM2.5",19.9887950524796
"X1001A","22.8333333333333","PM2.5",19.9839264915407
"X1001A","22.875","PM2.5",19.9935681984311
"X1001A","22.9166666666667","PM2.5",20.0028527619438
"X1001A","22.9583333333333","PM2.5",19.9935681984311
"X1001A","23","PM2.5",19.9935681984311
"X1001A","23.0416666666667","PM2.5",20.0118229845069
"X1001A","23.0833333333333","PM2.5",20.0118229845069
"X1001A","23.125","PM2.5",20.0162013165588
"X1001A","23.1666666666667","PM2.5",20.0073748347102
"X1001A","23.2083333333333","PM2.5",20.0007747095196
"X1001A","23.25","PM2.5",19.9910920227339
"X1001A","23.2916666666667","PM2.5",19.9863466004784
"X1001A","23.3333333333333","PM2.5",19.983956267526
"X1001A","23.375","PM2.5",19.9830376592094
"X1001A","23.4166666666667","PM2.5",19.9836875783335
"X1001A","23.4583333333333","PM2.5",19.9836875783335
"X1001A","23.5","PM2.5",19.9848901271637
"X1001A","23.5416666666667","PM2.5",19.9852085257344
"X1001A","23.5833333333333","PM2.5",19.9844933440541
"X1001A","23.625","PM2.5",19.9844933440541
"X1001A","23.6666666666667","PM2.5",19.9852333468083
"X1001A","23.7083333333333","PM2.5",19.9847794643999
"X1001A","23.75","PM2.5",19.9833533427352
"X1345A","19.2083333333333","PM2.5",44.5085979855296
"X1345A","19.25","PM2.5",44.5337715953584
"X1345A","19.2916666666667","PM2.5",44.527819364417
"X1345A","19.3333333333333","PM2.5",44.3475114165701
"X1345A","19.375","PM2.5",44.0795127320389
"X1345A","19.4166666666667","PM2.5",44.2424109056399
"X1345A","19.4583333333333","PM2.5",43.7709402417242
"X1345A","19.5","PM2.5",43.4682864859338
"X1345A","19.5416666666667","PM2.5",42.8143952284496
"X1345A","19.5833333333333","PM2.5",42.0437620602682
"X1345A","19.625","PM2.5",41.7042312912697
"X1345A","19.6666666666667","PM2.5",41.2588512100679
"X1345A","19.7083333333333","PM2.5",43.0586930985855
"X1345A","19.75","PM2.5",46.1223598961923
"X1345A","19.7916666666667","PM2.5",46.8546684045984
"X1345A","19.8333333333333","PM2.5",47.1913073195414
"X1345A","19.875","PM2.5",46.5076371062873
"X1345A","19.9166666666667","PM2.5",46.9643709103939
"X1345A","19.9583333333333","PM2.5",47.0725684649858
"X1345A","20","PM2.5",46.2749008118224
"X1345A","20.0416666666667","PM2.5",45.4313613413883
"X1345A","20.0833333333333","PM2.5",44.318524570446
"X1345A","20.125","PM2.5",43.5214167368088
"X1345A","20.1666666666667","PM2.5",43.5678403242765
"X1345A","20.2083333333333","PM2.5",43.6563951992829
"X1345A","20.25","PM2.5",43.4817366605167
"X1345A","20.2916666666667","PM2.5",43.459732646417
"X1345A","20.3333333333333","PM2.5",43.5644133141558
"X1345A","20.375","PM2.5",43.2518012705548
"X1345A","20.4166666666667","PM2.5",42.9195114460765
"X1345A","20.4583333333333","PM2.5",42.9845855107644
